,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,ATP6V1G3,MT1G,IGFBP5,WFDC2,HLA-DRA,UMOD,LINC00152,DEFB1,FXYD4,SRGN,CRYAB,S100A6,GPX3,MT-RNR1,IGFBP7,IFI27,GZMB,TPSAB1
1,MT-RNR1,PDZK1IP1,IFI27,MMP7,SRGN,SLC12A1,MIR4435-2HG,KNG1,AQP2,RPS27,NUPR1,WFDC2,GATM,MT-RNR2,MGP,TM4SF1,GPR183,TPSB2
2,TMEM213,MT1H,B2M,S100A6,HLA-DRB1,KNG1,CLDN4,MT-CO3,GDF15,CREM,CLDN4,ADIRF,ALDOB,ATP6V1G3,IFITM3,AQP1,CREM,CPA3
3,RTN4,MT1E,SPARC,SPP1,CD74,MT-ATP6,FXYD4,FXYD2,FOS,B2M,ACTG1,CLDN10,MT1G,KRT7,MYL9,EMP1,ALOX5AP,CTSG
4,ATP6AP2,MGST1,TM4SF1,SLPI,FTH1,MT-CO3,GDF15,MT-CO1,EPCAM,TMSB4X,SAT1,S100A2,NAT8,TSPAN8,CCL2,TIMP3,IGKC,RGS2
5,ATP6V0D2,GPX3,EMCN,S100A11,HLA-DPA1,MTATP6P1,KRT19,TMEM52B,HSPB1,RPS19,TACSTD2,ANXA1,UGT2B7,ACAT1,SPARC,A2M,CD74,S100A4
6,SPINK1,CXCL14,RNASE1,SAT1,HLA-DPB1,MT-CYB,S100A2,MT-ATP6,MT-CO1,CCL5,UBC,ATP6V0E1,MT1H,TMEM213,FOS,VIM,HLA-DRA,SRGN
7,LGALS3,MT2A,TGFBR2,ANXA2,TMSB4X,LDHB,S100A6,MT-ND1,MT-ND4,ARHGDIB,NCOA7,ACTG1,PDZK1IP1,WFDC2,CTGF,SRP14,RGS2,RGS1
8,MT-RNR2,CRYAB,CD74,IGFBP7,AIF1,MT-ND1,KRT18,MTATP6P1,ATF3,CD52,H3F3B,SLC12A1,MT1X,CA12,RPS27A,TMSB10,RPS3A,ANXA1
9,DHRS7,IL32,PLPP3,GSTP1,LYZ,MT-ND2,ACTG1,MT-CO2,MT-CO2,RPL21,LAPTM4A,SFN,CXCL14,CD9,TAGLN,RNASE1,SEC61B,FCER1G
