,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Cpe,mt-Nd2,mt-Nd2,Fabp4,Hsd3b1,C1qc,mt-Nd1,mt-Nd2,mt-Nd2,Mgp,Ccl5,Tmsb4x,Npy
1,Hsd3b1,mt-Nd1,Apoe,Ly6c1,Adh1,Apoe,mt-Nd2,mt-Nd4,1500015O10Rik,Col1a2,Tmsb10,Cd74,Scg2
2,Kcnk3,Hsd3b1,Cd74,B2m,mt-Cytb,C1qb,mt-Nd4,mt-Nd1,mt-Nd4,Dcn,Tmsb4x,H2-Aa,Chga
3,Itm2c,1500015O10Rik,Tmsb4x,Emcn,Cyp11b1,Ctss,Hsd3b1,Hsd3b1,Hspe1,Gsn,Nkg7,Cst3,Dlk1
4,Cyp11a1,mt-Cytb,mt-Nd1,Plvap,mt-Nd1,Tmsb4x,mt-Cytb,1500015O10Rik,Ifitm2,Sparcl1,Cd52,H2-Ab1,Chgb
5,Hspd1,mt-Nd4,mt-Nd4,Rgcc,Cyp21a1,C1qa,Adh1,Ly6d,mt-Co1,Col3a1,Rpsa,H2-Eb1,Meg3
6,Meg3,Cyp21a1,Fth1,Egfl7,mt-Nd2,Cd74,Rpl32,Rpl32,mt-Cytb,Igfbp6,AW112010,Crip1,Pnmt
7,Fdxr,Ly6d,Lyz2,Plpp1,mt-Nd4,Lyz2,Ly6d,Dad1,Hsd3b1,Gpc3,H2-K1,Tmsb10,Th
8,Cyp21a1,Hspe1,H2-Aa,Ly6e,Cyp11a1,H2-Eb1,Rpl37,Cyp21a1,Rps20,Cfh,Rps27,Cd52,Nsg2
9,Mgarp,Rps27,Adh1,H2-D1,Mgst1,H2-Ab1,Cyp21a1,mt-Cytb,mt-Nd1,Gas6,Rpl13,Actb,Gm2115
