,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,FCN3,TMSB4X,LYZ,S100A8,RPS27,DEFA3,RPS27,FTL,MT-RNR2,ORM1,SSR4,MT1G,DEFB1,TPSB2
1,CRHBP,RPS29,HLA-DRA,S100A9,CCL5,LYZ,RPS29,CD74,MGP,FGG,MZB1,MT2A,MT-CO3,CPA3
2,DNASE1L3,RPS27,FTL,CXCL8,TMSB4X,S100A8,IGKC,C1QB,ADIRF,SAA1,JCHAIN,FABP1,SPP1,CTSG
3,IFI27,RPLP1,CD74,IFITM2,GZMA,S100A9,RPL21,HLA-DRA,IGFBP7,FGB,HERPUD1,ALB,ANXA4,CMA1
4,OIT3,RPS18,FTH1,S100A12,RPS29,RNASE2,RPS27A,CCL4L2,MT-RNR1,HP,SEC11C,APOA2,TM4SF4,TPSAB1
5,HES1,GZMA,FCER1G,BCL2A1,NKG7,DEFA4,RPL34,CCL3,IFITM3,SERPINA1,IGHG1,SERPINA1,MT-CO1,MS4A2
6,GNG11,STMN1,HLA-DPA1,FCGR3B,B2M,SRGN,CD52,CCL4,HES1,ALB,IGKC,APOC1,MT-ATP6,ANXA1
7,MT-RNR2,TMSB10,S100A4,FTH1,CREM,CD24,RPS14,C1QA,IFI27,AMBP,FKBP11,GSTA1,SERPINA1,HPGDS
8,SEPP1,RPL21,HLA-DRB1,SOD2,RPL21,MS4A3,RPS19,CTSB,A2M,APOA2,IGHG4,SAA1,MT-CYB,HPGD
9,CTSL,RPS6,CTSS,SRGN,MT-CO3,S100P,RPL30,HLA-DRB1,ID3,CRP,PRDX4,FTL,CXCL1,CALM2
