,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,SFTPC,DCN,FTH1,EPAS1,EMP2,FTL,ACKR1,NKG7,ACTA2,IGHG1,JCHAIN,TPSB2,KRT17,TUBA1B,SCGB1A1,SFTPB,CYTL1,IGHG1,C1orf194,PF4
1,SFTPA1,LUM,LYZ,IFI27,AGER,CD74,VWF,CCL4,TAGLN,SFTPC,SSR4,TPSAB1,CXCL1,PTMA,SCGB3A1,SFTPC,S100B,SSR4,C20orf85,PPBP
2,SFTPB,A2M,SAT1,B2M,CLDN18,HLA-DRA,CLU,CCL5,TPM2,SFTPA2,IGHA2,SFTPA2,MT-RNR2,STMN1,PIGR,SFTPA1,CLU,IGHG3,TPPP3,RAP1B
3,SFTPA2,MGP,SRGN,HLA-E,SFTPB,FTH1,IGFBP7,MALAT1,MYL9,SFTPA1,MZB1,SFTPA1,S100A2,TOP2A,SLPI,SFTPA2,C2orf40,JCHAIN,CAPS,TUBB1
4,NAPSA,FN1,SOD2,TMSB10,KRT7,HLA-DRB1,PRSS23,GNLY,MYL6,SFTPB,IGHA1,CPA3,ERRFI1,H2AFZ,WFDC2,NAPSA,FGFBP2,IGHG2,PRDX5,ACRBP
5,SLC34A2,ADH1B,CXCL8,HLA-B,CEACAM6,C1QB,TMSB10,RPS27,ADIRF,IGHG3,IGKC,SFTPC,CXCL8,PEG10,SCGB3A2,NPC2,SFTPC,IGHG4,GSTP1,TAGLN2
6,NPC2,MFAP4,MT-RNR2,TMEM100,SLPI,CTSD,IFI27,B2M,CALD1,NAPSA,HERPUD1,SFTPB,SAT1,SFTPC,CXCL1,SLPI,HAPLN1,IGLC2,FAM183A,OST4
7,CTSH,GPX3,GPR183,IFITM3,MUC1,HLA-DRB5,EPAS1,TRBC2,ACTG2,SLC34A2,DERL3,NAPSA,KRT19,HMGB2,BPIFB1,CTSH,RPL13,HSP90B1,TSPAN1,OAZ1
8,SLPI,COL1A2,MT-RNR1,FCN3,KRT19,C1QA,HSPA1A,SFTPC,HSPB1,IGHG2,FKBP2,SLC34A2,MT-ND4,MUC1,CXCL17,FTO,TSC22D1,MZB1,AGR3,GP9
9,SCD,SERPING1,FTL,AQP1,SLC34A2,TMSB4X,SPARCL1,SFTPA2,MT-ND4,IGHG4,IGHM,IGKC,TACSTD2,TK1,CYB5A,SLC34A2,FRZB,IGKC,PSENEN,RUFY1
