,0,1,2,3,4,5,6,7,8,9,10,11,12
0,NEUROD6,SOX4,HMGB2,H2AFZ,SPP1,FABP7,SOX4,PTN,MGP,HBG2,PCP4,S100A9,IFITM3
1,STMN2,RPL34,PTTG1,HMGN2,FTL,PTN,PPP1R17,C1orf61,C21orf59,HBG1,SOX4,S100A8,ATP1A2
2,TMSB10,RPS27,CKS2,HMGB2,B2M,C1orf61,TMSB10,FABP7,MT-CO3,HBA1,STMN2,LYZ,PTN
3,GPM6A,TMSB10,UBE2C,TUBA1B,CCL3,HES1,NEUROD6,SCRG1,RPS6,HBA2,UCHL1,B2M,DCN
4,TUBA1A,HBG2,TUBA1B,KIAA0101,A2M,LINC01158,TMSB4X,DBI,MRLN,HBB,STMN1,S100A11,MT-ND4
5,ID2,RPL7,H2AFZ,HMGB1,AIF1,FABP5,STMN2,GPM6B,CALM1,AHSP,TMSB10,FCER1G,SPARC
6,SOX4,RPL39,HMGB1,LINC01158,P2RY12,DBI,STMN1,BCAN,RPS14,HBM,TUBA1A,MNDA,IFITM1
7,MLLT11,STMN2,HMGN2,TMSB15A,FOS,VIM,PRDX1,CST3,RPL34,ALAS2,NNAT,GMFG,ITM2A
8,RTN1,RPL10,CDK1,GAPDH,CX3CR1,POU3F3,TUBA1A,ATP1A2,MT-CO1,GYPA,NSG1,SRGN,S100A11
9,STMN1,RPS29,TOP2A,HNRNPD,ITM2B,HMGN3,GPM6A,S100B,NEUROD1,HBZ,MLLT11,CSTA,B2M
