,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,RPL7,TMSB4X,FTL,B2M,STMN1,TMSB4X,STMN1,DEFB1,HMGB2,PODXL,COL1A2,S100A6,TMEM52B,SRGN,HBG2,RGS5,TFF3
1,SOX4,COL3A1,AFP,IGFBP5,PTMA,CLDN4,DAPL1,SLC12A1,STMN1,NPHS2,COL1A1,SPINK1,MT-CO1,TMSB4X,HBA2,CALM2,CCL21
2,RPS27,LGALS1,MT-CO1,TM4SF1,JAG1,WFDC2,PTMA,FXYD2,UBE2C,BST2,COL3A1,S100P,MT-CO3,AIF1,HBA1,CHGB,TMSB10
3,RPL34,SULT1E1,GPX3,TMSB4X,RPL35A,LINC00152,HMGB1,MT-CO3,HMGB1,MAGI2-AS3,DCN,S100A11,SAT1,B2M,HBB,CHGA,TFPI
4,RPS14,FOS,MT-CO2,A2M,RPL7,KRT18,RPL35A,MT-CO1,H2AFZ,SPARC,POSTN,ADIRF,DEFB1,FTL,HBG1,STMN2,B2M
5,RPS27A,COL1A2,CUBN,TMSB10,RPS3A,S100A11,TMSB15A,CLDN10,PTTG1,CTGF,LUM,RPS6,WFDC2,CXCL8,RPL39,SCG2,S100A10
6,RPL39,TNC,HSPA5,EMCN,RPL19,MIR4435-2HG,CRABP2,MT-ATP6,TUBA1B,EIF3M,LGALS1,MT-ND4,FXYD2,FCER1G,SNRPE,PENK,GNG11
7,COX7C,COL1A1,GATM,FN1,RPL5,KRT19,H2AFZ,MTATP6P1,CALM2,TMSB4X,SPARC,CLDN4,COX7C,HLA-DRA,AHSP,DLK1,ATP5E
8,RPL35A,CTSC,LRP2,IFITM3,HNRNPD,KRT8,RPS3A,MT-ND4,CKS2,MAFB,MGP,FXYD3,MT-ATP6,CD74,RPL13A,GNAS,TMSB4X
9,RPS3A,RPL30,MT-ND3,PRCP,TMSB15A,ANXA2,ID2,MT-ND1,TOP2A,AIF1,MT-RNR2,MT-ATP6,POU3F3,CCL4,SLC25A37,ATP5E,LYVE1
