,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,Ube2c,Hspb1,Gsta1,Rrm2,Coro1a,Hist1h1b,mt-Nd1,Lsm2,mt-Co3,Sepp1,Ccnb2,Ptprc,Samd5,Hells,Ptpn18,Hmga1,Nupr1,Ptp4a1,S100a6,Prl2c3,Abhd2,Hist1h2ak,Gm10639,Flnb,Psat1,Cxcl2
1,Birc5,Plac8,Gm10639,Dut,Klf2,Anln,mt-Co2,Tuba1c,Gm42418,Gsta1,Cenpa,Malat1,Dst,Gsta1,Laptm5,Slc16a3,Gpr137b,Ppp1r2,Fth1,Gsta1,Neo1,Hist1h1d,Gsta1,Cdh1,Asns,Cxcl3
2,Cdk1,Anxa5,Gstp1,Siva1,B2m,Hist1h2af,Lmna,Tubb6,mt-Co2,Gsta4,Cdc20,Mbnl1,Nfat5,Prl2c3,Arhgdib,Pgam1,Slc3a2,Snhg12,Gm42418,Gm10639,Huwe1,Hist1h2af,Gsta4,Nid1,Ptgs2,Cxcl10
3,Ccnb2,Rbp4,Gsta4,Gins2,Cd52,Kif11,mt-Co3,Tuba1b,mt-Cytb,Sytl2,Cdkn3,Gm26917,Zfp57,Gm10639,Rac2,Lgals1,Atf5,Nupr1,mt-Co3,Sepp1,Dst,Krt23,Sepp1,Krt23,Shmt2,Cxcl1
4,Arl6ip1,Tmem176b,Creg1,2810417H13Rik,Arhgdib,Mki67,Krt18,Id2,mt-Nd4l,Gclc,Tpx2,Fam169b,Abcc5,Prl2c2,B2m,Fdps,Vegfa,Ifrd1,mt-Co1,Prl2c2,Neat1,Cav2,Sqstm1,Amotl2,Hist1h2ak,Plk2
5,Ccdc34,Krt19,Esd,Chaf1b,Limd2,Hist1h2ae,Rps15,H1f0,mt-Nd2,Cdh1,Cdca3,Ms4a4b,Kcnq1ot1,Cdkn1a,Coro1a,Hnrnpa1,Slc7a11,Ppp1r15a,mt-Cytb,Dap,Sh3d19,Hist1h2ab,Prl2c3,Igfbp3,Krt23,Sprr1a
6,Cks1b,Krt7,Prdx1,Pcna,Fxyd5,Incenp,Rrbp1,Snrpe,mt-Co1,Ugt2b34,Birc5,mt-Co1,Neat1,Ybx3,Cd52,Add2,Ddit3,Odc1,mt-Atp8,Gsta4,Cdh1,Psat1,Nqo1,Flna,Gars,Gm26870
7,Ube2s,Ly6a,Ugt2b34,Hells,Cd3d,Tpx2,Rpl41,Sgol2a,mt-Nd1,Gm10639,Cenpw,Ablim1,Chka,Uhrf1,H2-D1,Prdx2,Hspa9,5430416N02Rik,mt-Atp6,Gclc,Sytl2,Vegfa,Esd,Il33,Vegfa,Mmp13
8,Cdca3,Igfbp7,Gclc,Tcf19,Rac2,Ccna2,mt-Cytb,Slc16a3,S100a6,Dap,Knstrn,S1pr1,Col4a1,Mcm2,Srgn,Mt2,Asns,Sdc4,mt-Nd4,Cav2,Aff4,Actn4,Aldh3a1,Abhd2,Hist1h1d,Gadd45b
9,2810417H13Rik,Cdkn2a,Nqo1,Crip2,Ltb,Hist1h2an,mt-Nd4l,Tubb5,mt-Nd5,Abhd2,Tacc3,mt-Atp6,Syne2,Mcm3,H2-K1,Igfbp4,Cdkn1a,Myc,mt-Nd1,Ugt2b34,Nfat5,Gars,Prl2c2,Tomm70a,Tars,1810011O10Rik
