,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Ranbp1,Npc2,Cdk1,Apob,Stmn1,Cdc20,Calm2,Hmgn1,Afp,Ugdh,Ccl5,Krt19,Mbnl1,Cenpa,mt-Nd1,Chka,Myof
1,Chaf1b,B2m,Ube2c,Itgb1,Hmgb2,Fam64a,Tuba1c,Ranbp1,Tnfrsf12a,Ctnnb1,Lcp1,Krt8,Ptprc,Hmgb2,mt-Cytb,Neat1,Nedd4
2,Crip2,Samhd1,Kpna2,Ahnak,H2afv,Tubb4b,Cdk1,C1qbp,Igfbp3,Ociad2,Cst7,Lgals2,Gm26917,Ccnb2,mt-Atp6,Abcc5,Dync1h1
3,Rrm2,Rps15a,Tuba1c,2610507B11Rik,2810417H13Rik,Cenpa,Kpna2,Tomm20,Ier3,Afp,Cd52,Gsta4,mt-Nd5,Hmgn2,mt-Co2,Malat1,Syne2
4,Orc6,Rps24,Cebpb,Cdh1,Hist1h2ap,S100a7a,Ube2c,Crip2,Dtymk,Tuba4a,Cxcr3,Rbp4,mt-Co1,H2afv,mt-Nd2,Kcnq1ot1,Ahnak
5,Siva1,Rps27,Fam83d,Tfrc,Hmgn2,Cdkn3,Tubb6,Rps27l,Tcp1,Gldc,Grap,S100a6,Akap13,Ifi27l2a,mt-Co3,Nfkbiz,Huwe1
6,Hmgn1,Rps9,Tubb4b,Canx,Dnajc9,Sapcd2,Tubb5,Sgk1,Mcm2,Slc9a3r2,Cyba,Gstm1,mt-Atp8,Lockd,mt-Atp8,mt-Nd1,Apob
7,Dut,Rps14,4930461G14Rik,Itga2,Rasgrp2,Ube2s,H1f0,Eif5a,Egr1,Vapa,Ptprcap,Lgals4,Itk,Psmb9,mt-Nd4,mt-Nd3,Dst
8,Hells,Rpl27a,Slc25a1,Scd2,Anp32b,Gchfr,Ociad2,Ran,Orc6,Lmna,Thy1,Vamp8,mt-Atp6,Gmfg,mt-Nd4l,Fus,Flnb
9,Fen1,Rpl34,Aurka,Golm1,Lig1,Ccnd1,Nrn1,Ppp1r14b,Ankrd1,Sdpr,Ctla2a,Cd9,Gramd3,Sec11c,mt-Co1,Srrm2,Fat1
