geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lat,geolocation_lng
1001,sao paulo,SP,-23.54929199999999,-46.633559478233785
1001,são paulo,SP,-23.549779299469115,-46.6339571183853
1002,sao paulo,SP,-23.54831797807146,-46.63542110199666
1002,são paulo,SP,-23.54464133666111,-46.63317979239999
1003,sao paulo,SP,-23.54903244546711,-46.63531311226845
1003,são paulo,SP,-23.5490832616594,-46.63486400979368
1004,sao paulo,SP,-23.550115903139226,-46.63512161420169
1004,são paulo,SP,-23.54950697362805,-46.634428168330544
1005,sao paulo,SP,-23.549819091869107,-46.63560588995324
1005,são paulo,SP,-23.549980033585307,-46.63476783166945
1006,sao paulo,SP,-23.55052430835593,-46.63669363835193
1006,são paulo,SP,-23.550317224536894,-46.63660363835193
1007,sao paulo,SP,-23.550392524842728,-46.63730164071784
1007,são paulo,SP,-23.54816615573512,-46.63823833081751
1008,sao paulo,SP,-23.54425493154535,-46.634639135589296
1008,são paulo,SP,-23.5480135387212,-46.63709742838599
1009,sao paulo,SP,-23.54693540437998,-46.63658792659698
1009,são paulo,SP,-23.546340513734236,-46.63623850320264
1010,sao paulo,SP,-23.547806958346342,-46.63612181853806
1010,são paulo,SP,-23.547806958346342,-46.63612181853806
1011,sao paulo,SP,-23.547639550320632,-46.63603162315495
1011,são paulo,SP,-23.546690486964888,-46.6354469588072
1012,sao paulo,SP,-23.548945985189437,-46.63467113292871
1012,são paulo,SP,-23.547762303364262,-46.63536053788448
1013,sao paulo,SP,-23.546923208436723,-46.6342636964915
1013,são paulo,SP,-23.547686322234377,-46.6341397692307
1014,sao paulo,SP,-23.546435343326205,-46.63383023397196
1014,são paulo,SP,-23.545948945322863,-46.63350149901904
1015,sao paulo,SP,-23.544826346129778,-46.63086956396899
1015,são paulo,SP,-23.54956898779498,-46.62908488080666
1016,sao paulo,SP,-23.54849512877264,-46.633490627676125
1016,são paulo,SP,-23.54944327061568,-46.63234970260834
1017,sao paulo,SP,-23.5492954052167,-46.63207469510652
1017,são paulo,SP,-23.55001091199737,-46.63116636914989
1018,sao paulo,SP,-23.550218647763327,-46.63188
1018,são paulo,SP,-23.552143145161256,-46.63270720967747
1019,sao paulo,SP,-23.552151883432384,-46.63080224715792
1019,são paulo,SP,-23.55173348265909,-46.630302710110165
1020,sao paulo,SP,-23.552549496537548,-46.63163152553523
1020,são paulo,SP,-23.55223547100232,-46.6284406588955
1021,sao paulo,SP,-23.54516769470249,-46.63224867958328
1021,são paulo,SP,-23.544184662502165,-46.63264375243805
1022,sao paulo,SP,-23.54498660505508,-46.63345367485142
1022,são paulo,SP,-23.544714739944567,-46.63316426588382
1023,sao paulo,SP,-23.54260295697964,-46.63094283625709
1023,são paulo,SP,-23.54417619677996,-46.63217303372952
1024,sao paulo,SP,-23.54186295323959,-46.63003529431536
1024,são paulo,SP,-23.541389521053937,-46.62989908781218
1025,sao paulo,SP,-23.539920936547933,-46.6283479287932
1025,são paulo,SP,-23.54040852242101,-46.63149317466289
1026,sao paulo,SP,-23.53984025062037,-46.6302639919499
1026,são paulo,SP,-23.539494799586286,-46.63284391414975
1027,sao paulo,SP,-23.538301166801343,-46.63076391104508
1027,são paulo,SP,-23.53801519954993,-46.63194741104508
1028,sao paulo,SP,-23.536027749379617,-46.632878533585306
1028,são paulo,SP,-23.53624171663104,-46.6320595335853
